episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_zone,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,4,5.366343366302611,5.366343366302611,-3.203028895622409,3.203028895622409,0,5.372035485413475,8.56937226192502,8.56937226192502,0,nlos,0.0,0.0,0.0,3.203028895622409,-12.869292259216309,477.89361572265625,-263.92486572265625,0.19993998110294342,0.07214213907718658,-63.98575210571289,1.0,0.0,0.0,0.35,0.0,1.0,0.0,3.2030288956224093,1,0.0,,,
2,8,5.38141433773932,5.38141433773932,-2.5839184560239685,2.5839184560239685,0,5.361728903738043,7.965332793763289,7.965332793763289,0,nlos,0.0,0.0,0.0,2.8934736758231887,-13.825486898422241,600.2283325195312,-268.9887390136719,0.19979001209139824,0.42472676932811737,-67.05417442321777,1.0,0.0,0.0,0.35095214843749994,0.04992675781250001,1.0,0.0,2.5616727102692454,1,0.0,5.3961323282588936,5.3961323282588936,-2.304830833412713
3,12,5.39191369045683,5.39191369045683,-2.3090494712147764,2.3090494712147764,0,5.37706995864185,7.7009631616716065,7.7009631616716065,0,nlos,0.0,0.0,0.0,2.6986656076203843,-14.520938158035278,428.8182373046875,-270.0732116699219,0.19955018535256386,1.026736557483673,-67.60275077819824,1.0,0.0,0.0,0.35349121093749997,0.049731445312500004,1.0,0.0,2.3081420632392575,1,0.0,,,
4,16,5.410591020442876,5.410591020442876,-0.5662687543715172,0.5662687543715172,0,5.371064717652491,5.976859774814393,5.976859774814393,0,nlos,0.0,0.0,0.0,2.1655663943081676,-14.967311382293701,267.8533134460449,-267.8117446899414,0.19931070506572723,1.7937853634357452,-66.07553672790527,1.0,0.0,0.0,0.3560302734375,0.0495361328125,1.0,0.0,0.5978046768452854,1,0.0,5.367910355868831,5.367910355868831,-3.282986831523993
