episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_zone,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,4,5.352942884953622,1.5457056258156665,-3.1726977159482956,3.1726977159482956,0,5.388810040018218,8.525640600901918,8.525640600901918,0,nlos,0.0,0.0,0.0,3.1726977159482956,-5.191062927246094,62.671958923339844,-224.75387573242188,0.07997600734233856,0.07220295816659927,-63.98575210571289,1.0,0.0,0.0,0.35,0.0,1.0,0.0,3.172697715948296,1,0.0,,,
2,8,5.389841548953117,2.6164956136909296,-2.3111216127184893,2.3111216127184893,0,5.37706995864185,7.7009631616716065,7.7009631616716065,0,nlos,0.0,0.0,0.0,2.7419096643333924,-5.784550070762634,88.0601634979248,-232.57162857055664,0.07991601154208183,0.42428889870643616,-67.05362892150879,1.0,0.0,0.0,0.35095214843749994,0.04992675781250001,1.0,0.0,2.284184030570781,1,0.0,5.368963023198257,4.639486921258893,-0.6078967516161367,5.367910355868831,1.428326158040039,-3.282986831523993,5.3619092022775225,3.1144385277744866,-1.87289222875253
3,12,5.4027415800956895,4.267930674358767,-0.9456757547807682,0.9456757547807682,0,5.374379920901457,6.348417334876458,6.348417334876458,0,nlos,0.0,0.0,0.0,2.143165027815851,-6.371257424354553,69.34290313720703,-232.42704010009766,0.07982004806399345,1.0254646241664886,-66.95277404785156,1.0,0.0,0.0,0.35349121093749997,0.049731445312500004,1.0,0.0,0.9347467872729083,1,0.0,,,
4,16,5.360287828747076,1.4141686844175978,-3.2884326202745644,3.2884326202745644,0,5.380333022495333,8.64872044902164,8.64872044902164,0,nlos,0.0,0.0,0.0,2.4294819259305296,-7.012034773826599,28.8874409198761,-229.38889694213867,0.07972431741654873,1.7719689905643463,-65.70765686035156,1.0,0.0,0.0,0.3560302734375,0.0495361328125,1.0,0.0,3.307249371916257,1,0.0,5.363292388203212,1.7623582592393623,-3.0007784408032085,5.3749466331840825,1.519867594876367,-3.2125658652564297,5.383574693478463,1.982128217991721,-2.8345387295722855
