episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,0.8369193376820157,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,0.8476703571805295,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,0.0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,0.0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,2.2417975255230775,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,2.2341376367354364,10.947861548040056,13.185244628569512,13.185244628569512,,377.1889953613281,,0.05000000074505806,,,0.0,0.0,0.0,0.18,0.0,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.94964416582892,10.913503062533307,-0.07228220659122364,0.07228220659122364,10.951705623072638,11.021926372420143,11.021926372420143,-3.7664133310317993,366.5991401672363,-261.51397705078125,0.049962522462010384,0.4038100391626358,-67.28238487243652,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2,0.0,,,
10,80,10.947274559055021,10.909948652372462,-0.07465181336512217,0.07465181336512217,10.951705623072638,11.021926372420143,11.021926372420143,-4.510360240936279,354.4174346923828,-261.2408218383789,0.04990259371697903,1.158078745007515,-67.15632820129395,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2,1.0,,,
11,88,5.611953870059095,2.653886202943757,-5.916135334230674,5.916135334230674,5.6410050820112305,11.528089204289769,11.528089204289769,-5.525960087776184,316.34056091308594,-262.06774139404297,0.04984275344759226,2.1656887531280518,-67.39721870422363,0.5,0.0,0.06474609375,0.16857421875,0.009238281249999999,2,0.0,,,
12,96,5.632216390280898,2.684279983276463,-5.895872814008871,5.895872814008871,5.6410050820112305,11.528089204289769,11.528089204289769,-6.938527226448059,245.67354202270508,-262.3432312011719,0.049782946705818176,3.5794583559036255,-67.45406913757324,0.5,0.125,0.09130859375,0.143291015625,0.007802734375,2,1.0,8.031549807121552,6.073039527212389,-3.917020559818329
13,104,4.794326284225362,1.4356978305645487,-6.7172569073216275,6.7172569073216275,4.741783444929363,11.51158319154699,11.51158319154699,-8.992860078811646,182.96724700927734,-262.39022064208984,0.04972320981323719,5.6387834548950195,-67.43473625183105,0.5,0.0,0.11787109374999999,0.15919921874999998,0.00861328125,2,0.0,,,
14,112,4.757482930668071,1.380432800228613,-6.754100260878919,6.754100260878919,4.741783444929363,11.51158319154699,11.51158319154699,-12.190689086914062,109.72663116455078,-261.25062561035156,0.04966357350349426,8.861227035522461,-67.02020263671875,0.5,0.25,0.14443359374999998,0.1160302734375,0.0062353515625,2,1.0,,,
15,120,11.305256918254099,10.76510660621476,-1.0803006240786726,1.0803006240786726,11.30359912680709,12.385557542332771,12.385557542332771,-16.73829460144043,66.05109548568726,-260.411376953125,0.04960404895246029,13.428407430648804,-66.70604705810547,0.5,0.125,0.17099609375,0.1312060546875,0.006997070312499999,2,0.0,,,
16,128,11.306895388742472,10.767564311947321,-1.0786621535902992,1.0786621535902992,11.30359912680709,12.385557542332771,12.385557542332771,-21.641478538513184,52.59881925582886,-256.3845520019531,0.049544730223715305,18.403683185577393,-65.33127975463867,0.5,0.125,0.19755859375,0.1272509765625,0.0067333984375,2,1.0,11.18164395626474,10.684237370618252,-0.8270176477691678
17,136,11.040304623936123,9.929003753249477,-2.2226017413732873,2.2226017413732873,11.119222703368518,13.26290636530941,13.26290636530941,-23.031274795532227,42.885993003845215,-250.3114891052246,0.04948579613119364,19.899017333984375,-63.277010917663574,0.5,0.75,0.22412109375,0.0351123046875,0.0018408203125,2,0.0,,,
18,144,11.02775455443269,9.910178648994332,-2.2351518108767205,2.2351518108767205,11.119222703368518,13.26290636530941,13.26290636530941,-21.967228412628174,33.0406711101532,-236.2361183166504,0.04942759033292532,19.07170343399048,-58.56345176696777,0.5,0.25,0.25068359375,0.1016748046875,0.005278320312499999,2,1.0,,,
19,152,11.315920159233926,11.428220822529028,0.5615033164755197,0.0,11.300479510470948,10.754416842758406,10.754416842758406,-21.54164409637451,28.82342529296875,-216.69278717041016,0.04937079641968012,18.9718074798584,-52.036346435546875,0.5,0.25,0.27724609375,0.0978662109375,0.0050244140625,2,0.0,,,
