episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,10.947861548040056,13.185244628569512,13.185244628569512,,381.674072265625,,0.05000000074505806,,,0.0,0.0,0.0,0.18,0.0,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.949578556781956,10.913404648962864,-0.07234781563818693,10.951705623072638,11.021926372420143,11.021926372420143,-3.765205979347229,387.39894104003906,-261.51564025878906,0.049962522462010384,0.40257513523101807,-67.2829360961914,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2,0.0,,,
10,80,10.943975666070429,10.905000312895572,-0.07795070634971424,10.951705623072638,11.021926372420143,11.021926372420143,-4.5110039710998535,367.3733367919922,-261.8357238769531,0.04990258626639843,1.148816391825676,-67.35479354858398,0.5,0.125,0.038183593749999994,0.15134765625,0.00833984375,2,1.0,,,
11,88,5.6298125904659475,2.680674283554036,-5.898276613823821,5.6410050820112305,11.528089204289769,11.528089204289769,-5.559332489967346,338.39941787719727,-262.26295471191406,0.04984270874410868,2.1958160400390625,-67.46231079101562,0.5,0.0,0.06474609375,0.16857421875,0.009238281249999999,2,0.0,,,
12,96,5.606401762596448,2.645558041749787,-5.9216874416933205,5.6410050820112305,11.528089204289769,11.528089204289769,-7.028145909309387,290.5134506225586,-262.00382232666016,0.04978290759027004,3.6747129559516907,-67.34090805053711,0.5,0.375,0.09130859375,0.10231933593749999,0.0055712890625,2,1.0,8.02499211649219,6.063202991268345,-3.9235782504476906
13,104,4.760943085448728,1.3856230323995975,-6.7506401060982615,4.741783444929363,11.51158319154699,11.51158319154699,-9.171894311904907,231.2323703765869,-261.9408493041992,0.049723207019269466,5.825262904167175,-67.28500938415527,0.5,0.0,0.11787109374999999,0.15919921874999998,0.00861328125,2,0.0,,,
14,112,4.73552018884863,1.3474886874994498,-6.7760630026983595,4.741783444929363,11.51158319154699,11.51158319154699,-12.49973201751709,150.67622566223145,-261.40106201171875,0.04966359492391348,9.167778491973877,-67.07032585144043,0.5,0.375,0.14443359374999998,0.09638671875,0.00517578125,2,1.0,,,
15,120,11.301020866851687,10.758752529111144,-1.0845366754810843,11.30359912680709,12.385557542332771,12.385557542332771,-17.71092653274536,91.57424354553223,-260.16736602783203,0.04960411321371794,14.40506887435913,-66.62481880187988,0.5,0.125,0.17099609375,0.13105957031249998,0.0069873046875,2,0.0,,,
16,128,11.30776460742103,10.768868139965157,-1.0777929349117414,11.30359912680709,12.385557542332771,12.385557542332771,-23.70872402191162,52.58429574966431,-256.5254936218262,0.0495448112487793,20.46859073638916,-65.37825775146484,0.5,0.0,0.19755859375,0.14513671875,0.00767578125,2,1.0,11.186577522182946,10.690290824311496,-0.8220840818509627
17,136,11.034241397296078,9.919908913289412,-2.228664968013332,11.119222703368518,13.26290636530941,13.26290636530941,-27.559732913970947,46.86013460159302,-249.1726531982422,0.04948591720312834,24.446226119995117,-62.89816188812256,0.5,0.5,0.22412109375,0.0704443359375,0.0036962890625,2,0.0,,,
18,144,11.018011576325407,9.895564181833407,-2.244894788984004,11.119222703368518,13.26290636530941,13.26290636530941,-25.089661121368408,29.21973466873169,-235.99952697753906,0.049427781254053116,22.19801139831543,-58.484856605529785,0.5,0.25,0.25068359375,0.1022607421875,0.0053173828125,2,1.0,,,
19,152,11.334597026549876,11.450633063308171,0.5801801837914695,11.300479510470948,10.754416842758406,10.754416842758406,-22.098225593566895,23.553307056427002,-218.10998916625977,0.04937101434916258,19.50511360168457,-52.50754356384277,0.5,0.25,0.27724609375,0.09852539062499999,0.0050683593749999995,2,0.0,,,
20,160,11.331099478113698,11.446436005184754,0.5766826353552919,11.300479510470948,10.754416842758406,10.754416842758406,-23.819843292236328,18.624412536621094,-193.35597229003906,0.04931630473583937,21.636737823486328,-44.254594802856445,0.5,0.25,0.30380859374999997,0.09515624999999998,0.00484375,2,1.0,7.504596349986713,5.149796150347929,-4.709600399277568
