episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,,,
2,16,10.979473306909865,10.559504234248827,-0.8399381453220762,0.8399381453220762,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,,,
3,24,11.248708028760058,11.804458388008896,2.7787517962441903,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,,,
4,32,10.953353952975935,9.837408615179145,-2.2318906755935775,2.2318906755935775,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,8.28731556227309,6.793469449232155,-2.987692226081866
5,40,10.941574355542189,10.901398347103212,-0.08035201687795457,0.08035201687795457,0,10.951705623072638,11.021926372420143,11.021926372420143,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,,,
6,48,5.606150526833393,2.6451811881052056,-5.921938677456375,5.921938677456375,8,5.6410050820112305,11.528089204289769,11.528089204289769,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,,,
7,56,4.703462450698497,1.2994020802742499,-6.8081207408484925,6.8081207408484925,8,4.741783444929363,11.51158319154699,11.51158319154699,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,,,
8,64,11.300948832345892,10.758644477352451,-1.0846087099868793,1.0846087099868793,0,11.30359912680709,12.385557542332771,12.385557542332771,,,,,,,,0.0,0.0,0.18,0.0,,,,1,0.0,11.2135738115883,10.733637472376138,-0.7950877924456083
9,72,11.11393767908751,10.039453335976557,-2.1489686862219006,2.1489686862219006,0,11.119222703368518,13.26290636530941,13.26290636530941,,,,,,,,0.0,0.011621093750000002,0.17794921875,0.00986328125,,,,1,0.0,,,
10,80,11.305632611299632,11.415875765007879,0.5512157685412262,0.0,0,11.300479510470948,10.754416842758406,10.754416842758406,,,,,,,,0.0,0.038183593749999994,0.17326171875,0.00955078125,,,,1,0.0,,,
11,88,10.761405563812827,9.548499046481542,-2.425813034662566,2.425813034662566,0,10.76194512950725,13.187218598475393,13.187218598475393,-3.7521190643310547,339.13121032714844,-260.5828857421875,0.049970014952123165,0.4050445407629013,-66.97163391113281,0.5,0.25,0.06474609375,0.126650390625,0.0069433593749999994,2.0,0.0,2.420352687563396,1,0.0,,,
12,96,4.729725282954072,1.4740004744045239,-6.511449617099097,6.511449617099097,8,4.717650770311104,11.241174900053169,11.241174900053169,-4.618948459625244,318.3465232849121,-261.74774169921875,0.04993441700935364,1.2560582160949707,-67.33856201171875,0.125,0.25,0.09130859375,0.123134765625,0.006708984375,5.5,0.875,6.483008884736295,1,0.0,10.996774883203255,10.017086534998079,-1.9593766964103505
13,104,10.916065408444691,9.943870428923901,-1.944389959041576,1.944389959041576,0,10.914924120981635,12.860455367486267,12.860455367486267,-5.420439839363098,304.75049209594727,-261.3535919189453,0.049887620843946934,2.0677271485328674,-67.18519592285156,0.5,0.125,0.11787109374999999,0.13948242187499998,0.007548828125,2.0,0.0,1.9454122057375995,1,0.0,,,
14,112,11.092760774244663,10.11321726549652,-1.959087017496282,1.959087017496282,0,11.081237686939467,13.051847791740945,13.051847791740945,-6.847280025482178,279.205867767334,-261.4972152709961,0.0498277610167861,3.4979361295700073,-67.1982192993164,0.5,0.125,0.14443359374999998,0.1353076171875,0.0072705078125,2.0,0.0,1.9639738442448622,1,0.0,,,
15,120,11.288699953155387,12.44244535960441,5.76872703224513,0.0,0,11.283256496634747,5.519972920910257,5.519972920910257,-9.063696384429932,235.2460880279541,-261.4791030883789,0.04976797476410866,5.7204121351242065,-67.15727043151855,0.5,0.125,0.17099609375,0.13113281249999997,0.0069921875,2.0,0.0,0.0,1,0.0,,,
16,128,10.769563030429842,10.962688929925788,0.9656294974797444,0.0,0,10.766627166272126,9.803933532950097,9.803933532950097,-12.217678785324097,175.54070854187012,-262.0872497558594,0.049708263017237186,8.87006688117981,-67.32501983642578,0.5,0.25,0.19755859375,0.1086328125,0.0057421875,2.0,0.0,0.0,1,0.0,8.482439706437031,6.66200120900149,-3.6408769948710846
