episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
22,176,11.039984511972913,10.330662942281004,-2.3644052323063622,11.064879606584622,13.404389744279275,13.404389744279275,-35.52325248718262,192.8957920074463,-261.0395851135254,0.19407329708337784,24.021339416503906,-59.24730396270752,,,
23,184,5.618710297128355,3.9050780797744657,-5.712107391179631,5.642379939993957,11.330817688307986,11.330817688307986,-40.58214521408081,151.55847549438477,-258.2576789855957,0.19358959794044495,29.48359489440918,-57.3114595413208,,,
24,192,10.80365945389174,10.94707157884332,0.4780404165052623,10.793804352739594,10.325619037386478,10.325619037386478,-42.1486382484436,125.06771278381348,-251.7962989807129,0.19310764968395233,31.882776260375977,-53.14330053329468,11.2894758972467,11.949013734586892,2.1984594578006402
25,200,11.296912166664947,11.191674945091709,-0.350790738577464,11.294276457289692,11.647702905242411,11.647702905242411,-40.29603290557861,75.09510612487793,-240.79167938232422,0.19263569451868534,31.387248754501343,-46.23170518875122,,,
26,208,11.297057518790416,12.725875782332631,4.76272754514071,11.285121235303174,6.534329973649705,6.534329973649705,-38.77241516113281,79.55743312835693,-236.92975425720215,0.19217785447835922,30.37618112564087,-43.67726373672485,,,
27,216,5.83386693523155,4.1630925050988115,-5.569248100442462,5.64728386709651,11.403115035674013,11.403115035674013,-38.96817684173584,76.91366338729858,-240.28770065307617,0.19172856025397778,30.240730047225952,-45.50678873062134,,,
28,224,11.14802519967705,11.601083628260664,1.5101947619453746,11.15938845549729,9.637830437731676,9.637830437731676,-40.30876874923706,81.08787631988525,-243.60870170593262,0.19128058664500713,31.256935119628906,-47.30904722213745,7.960021387007698,7.032172145778015,-3.092830804098949
29,232,4.824546719705557,2.8008488491100683,-6.745659568651632,4.731744702319002,11.57020628835719,11.57020628835719,-41.24601411819458,81.73813819885254,-245.33092308044434,0.19083074294030666,32.05678462982178,-48.13992977142334,,,
30,240,11.094337338756,11.26198911222597,0.5588392448998949,11.06240229973474,10.535498093856106,10.535498093856106,-41.53510522842407,74.52017307281494,-249.40973663330078,0.19037855602800846,31.939621210098267,-50.387582778930664,,,
31,248,10.768101813179802,10.215039873654476,-1.8435397984177477,10.7735957478949,12.61164161159755,12.61164161159755,-41.88509798049927,73.84255599975586,-251.49580574035645,0.18992319330573082,32.11517810821533,-51.426801681518555,,,
32,256,5.687272733279768,4.0152600610360505,-5.573375574145723,5.6554055245869055,11.260648307425491,11.260648307425491,-43.08161783218384,95.50794124603271,-254.3166790008545,0.18946470320224762,33.055278301239014,-52.90341234207153,7.859651254974422,6.535013763411923,-4.415458305208327
33,264,4.638580867439136,2.507222877286846,-7.104526633840966,4.819957514834821,11.743107501280102,11.743107501280102,-43.69260501861572,85.94583034515381,-257.1783218383789,0.1890037413686514,33.40818691253662,-54.39777135848999,,,
34,272,11.130393826518524,10.627378488748462,-1.6767177925668726,11.155247223034015,12.807111619085397,12.807111619085397,-42.94658422470093,97.3430118560791,-258.86267471313477,0.1885404083877802,32.53965878486633,-55.180655002593994,,,
35,280,11.262278842420164,10.74134426785044,-1.7364485818990918,11.287585137765394,12.998727424319256,12.998727424319256,-42.77505874633789,107.76669597625732,-259.8671684265137,0.18807578459382057,32.323668003082275,-55.55300998687744,,,
36,288,4.715372679142609,2.5931146616910095,-7.0741933915053306,4.8126022570190505,11.78956607064794,11.78956607064794,-43.851449966430664,86.07123851776123,-261.4168510437012,0.18761086650192738,33.295199394226074,-56.24927282333374,4.62001423646784,2.4910132612201705,-7.096669917492234
37,296,4.653330738087816,2.519603452826332,-7.112424284204947,4.722914803920846,11.765755022292764,11.765755022292764,-45.51027250289917,131.61345386505127,-260.8670120239258,0.1871464066207409,35.08487939834595,-55.68993806838989,,,
38,304,4.833935886566911,2.7838326668487685,-6.833677399060473,4.775446019392383,11.667613285627384,11.667613285627384,-44.43912935256958,110.39908695220947,-259.6953544616699,0.1866838801652193,34.21270799636841,-54.76219367980957,,,
39,312,10.788536738522147,11.646618341540679,2.8602720100617773,10.778262385135772,7.92826472846037,7.92826472846037,-43.83917284011841,110.67288112640381,-260.4286460876465,0.18622432090342045,33.599071979522705,-54.97122144699097,,,
40,320,11.034945351727304,10.32941796829761,-2.351757944765639,11.06297299712997,13.386703296492943,13.386703296492943,-44.89952087402344,122.07685089111328,-261.00085830688477,0.18576673232018948,34.663511753082275,-55.08464813232422,10.950104163942235,11.038275546765355,0.29390460941040075
41,328,11.045246005357058,11.440878765540582,1.318775867278422,11.074411881425767,9.726470138078636,9.726470138078636,-45.76710319519043,124.08797645568848,-261.96108627319336,0.18531040474772453,35.49257278442383,-55.42808198928833,,,
42,336,10.788366242730833,10.549097424254573,-0.797562728254201,10.771865134126127,11.585928970985034,11.585928970985034,-46.43377923965454,115.5189962387085,-260.8765640258789,0.18485556356608868,36.3451452255249,-54.55917930603027,,,
43,344,10.98403754484417,10.421755327871304,-1.8742740565762137,10.976685676326094,12.858311601420384,12.858311601420384,-48.21237850189209,104.97740840911865,-260.6264877319336,0.18440289422869682,38.21697425842285,-54.18725299835205,,,
44,352,4.871116863792744,2.863476490078137,-6.69213457904869,4.784025111626667,11.563251442841434,11.563251442841434,-48.904791831970215,124.96582794189453,-258.3761215209961,0.18395330011844635,39.21933603286743,-52.63536310195923,10.9358533481549,10.73436255294925,-0.6716359840188382
45,360,11.027263145488783,10.303758150775927,-2.411683315709535,11.103912329020147,13.438946461198318,13.438946461198318,-48.37534427642822,124.17391872406006,-255.0512466430664,0.18350820429623127,39.113383293151855,-50.455801010131836,,,
46,368,10.856789782400085,11.181017056175364,1.0807575792509265,10.859929185071461,9.776032203149159,9.776032203149159,-49.32913112640381,141.0477476119995,-251.15185546875,0.18306920118629932,40.54888391494751,-47.9462833404541,,,
47,376,11.292187316566704,11.230366606927351,-0.20606903213119132,11.286438324379562,11.498256348697895,11.498256348697895,-49.26126670837402,134.52388763427734,-247.75933265686035,0.18263729475438595,40.904128551483154,-45.74439811706543,,,
48,384,10.869253040862697,10.160479063162185,-2.3625799256683795,10.867459142485876,13.231832966531076,13.231832966531076,-48.22774839401245,147.20652294158936,-246.60456466674805,0.18221189640462399,40.050286293029785,-44.86590337753296,10.942530359211169,10.294636938089305,-2.1596447370728855
