episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087767922013818,12.239066160456183,3.8376607948078743,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,,
2,16,10.979760665254688,10.727865429161511,-0.8396507869772538,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,,
3,24,11.24816401142278,12.081626345094854,2.7782077789069124,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,,
4,32,10.95330167822426,10.283718793120688,-2.2319429503452515,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,8.28731556227309,7.391007894448529,-2.987692226081866
5,40,10.940801633061742,10.916464211254224,-0.08112473935840114,10.951705623072638,11.021926372420143,11.021926372420143,,,,,,,,,
6,48,5.6038410604056645,3.826566617240433,-5.924248143884104,5.6410050820112305,11.528089204289769,11.528089204289769,,,,,,,,,
7,56,4.702645325918602,2.659963966230085,-6.808937865628388,4.741783444929363,11.51158319154699,11.51158319154699,,,,,,,,,
8,64,11.300928601199079,10.975539918858967,-1.0846289411336922,11.30359912680709,12.385557542332771,12.385557542332771,-13.46916389465332,896.5438232421875,-268.77154541015625,0.19993998110294342,0.06973680853843689,-66.99713134765625,11.213413583464632,10.974839177293848,-0.7952480205692751
9,72,11.122121407655344,10.479885920359123,-2.1407849576540663,11.119222703368518,13.26290636530941,13.26290636530941,-13.881127715110779,924.149040222168,-269.3321838378906,0.19967026822268963,0.4582769460976124,-67.20510292053223,,,
10,80,11.306753799616438,11.472454886673846,0.5523369568580314,11.300479510470948,10.754416842758406,10.754416842758406,-14.696953415870667,910.0176544189453,-270.2810859680176,0.1991914138197899,1.238627053797245,-67.54455089569092,,,
11,88,10.777317200495046,10.054346781100941,-2.409901397980347,10.76194512950725,13.187218598475393,13.187218598475393,-15.814634084701538,910.3432846069336,-271.5280075073242,0.1987135373055935,2.284704178571701,-68.06725311279297,,,
12,96,4.697093289437791,2.7338688062531773,-6.544081610615378,4.717650770311104,11.241174900053169,11.241174900053169,-17.379760265350342,835.3430252075195,-271.98875427246094,0.19823644869029522,3.8753319084644318,-68.10238552093506,10.997941086833663,10.41047793899968,-1.9582104927799433
13,104,10.907177722529221,10.321194429042105,-1.953277644957046,10.914924120981635,12.860455367486267,12.860455367486267,-19.792787790298462,720.8916854858398,-271.96466064453125,0.19776047952473164,6.373031973838806,-67.83817958831787,,,
14,112,11.086737883741028,10.49720491134105,-1.965109907999917,11.081237686939467,13.051847791740945,13.051847791740945,-24.51930570602417,575.6486854553223,-270.4205207824707,0.197286207228899,11.3684002161026,-66.63852596282959,,,
15,120,11.26384879463623,12.98701155675402,5.743875873725973,11.283256496634747,5.519972920910257,5.519972920910257,-37.477115631103516,314.09277534484863,-256.1985054016113,0.19681639783084393,26.127704858779907,-57.644450664520264,,,
16,128,10.775520950512654,11.06699717578142,0.9715874175625565,10.766627166272126,9.803933532950097,9.803933532950097,-56.894251346588135,276.40429973602295,-186.53808403015137,0.19636845216155052,54.0187406539917,-14.625491201877594,8.414510385733724,7.301868491061407,-3.7088063155743924
17,136,5.5924510348091205,3.901217737012167,-5.637444325989846,5.6268397719014045,11.229895360798967,11.229895360798967,-35.5173065662384,517.9649276733398,-87.9141035079956,0.19600402936339378,44.54429054260254,46.04586744308472,,,
18,144,11.301528211533173,10.786965262447945,-1.7152098302840937,11.30219565143326,13.016738041817266,13.016738041817266,-20.32631802558899,108.00190544128418,-168.19408893585205,0.19572174921631813,19.7156240940094,-3.1266166120767593,,,
19,152,4.755452412909949,2.647522736710715,-7.026432253997444,4.648502654770328,11.781884666907393,11.781884666907393,-21.20352554321289,293.40459060668945,-231.57665252685547,0.19539769366383553,13.024359226226807,-41.852882385253906,,,
20,160,4.786225161699265,2.689999619702685,-6.987418473321935,4.686238886648063,11.7736436350212,11.7736436350212,-25.110931158065796,374.56268310546875,-252.77105903625488,0.1949982214719057,14.45214068889618,-54.64731550216675,11.039181432695287,10.369730528742972,-2.231503013174378
21,168,11.082055060719252,10.465577834697008,-2.0549240867408027,11.100854530759465,13.136979147460055,13.136979147460055,-29.802143096923828,280.32945251464844,-260.8028373718262,0.1945484708994627,18.25442147254944,-59.33916521072388,,,
