episode,global_step,avg_reward,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob
1,8,11.089949702796309,,,,,,
2,16,10.983156184315467,,,,,,
3,24,11.239357552646553,,,,,,
4,32,10.95460780587262,,,,,,
5,40,10.977274086664021,,,,,,
6,48,5.634298390639621,,,,,,
7,56,4.840548925704427,,,,,,
8,64,11.303809065226702,-13.593097686767578,907.8096923828125,-269.5921325683594,0.19993998110294342,0.0916961282491684,-67.50700378417969
9,72,11.10707703575429,-13.923972606658936,927.130744934082,-269.2773895263672,0.1996703315526247,0.5079060904681683,-67.1711196899414
10,80,11.305334992754293,-14.847285270690918,855.4983139038086,-270.30228424072266,0.1991916038095951,1.3863461539149284,-67.55772113800049
11,88,10.748893850555442,-16.078076124191284,793.5835494995117,-271.50542068481445,0.19871375150978565,2.5508919954299927,-68.0533800125122
12,96,4.759445677086825,-17.734039545059204,641.5960998535156,-272.0540084838867,0.19823665916919708,4.221570998430252,-68.14284133911133
13,104,10.91339633618619,-20.272377490997314,455.1847724914551,-272.08251571655273,0.1977606564760208,6.838176786899567,-67.91105461120605
14,112,11.104243670687303,-24.733869791030884,295.9679069519043,-269.81478118896484,0.1972864232957363,11.656542539596558,-66.26545429229736
15,120,11.277388518737471,-33.76629900932312,105.03442621231079,-256.4949779510498,0.19681695848703384,22.38096523284912,-57.82699489593506
16,128,10.758949297317082,-47.063724994659424,105.56562376022339,-194.78295707702637,0.1963678989559412,43.19382047653198,-19.690156295895576
17,136,5.604275433168535,-40.12756633758545,366.519832611084,-124.41935348510742,0.19598869234323502,44.763304710388184,23.64604425430298
18,144,11.317855115396513,-26.89237928390503,74.05870008468628,-193.21771430969238,0.19566632062196732,23.282400131225586,-18.452116668224335
19,152,4.608111575957475,-23.873526334762573,158.15125846862793,-242.2670192718506,0.19530469551682472,14.4265958070755,-48.360546588897705
20,160,4.581598008046099,-25.553057193756104,190.98785781860352,-257.9245891571045,0.19488421268761158,14.296551823616028,-57.74483013153076
21,168,11.08820820840261,-29.073956727981567,129.67645263671875,-261.5047836303711,0.19442618265748024,17.46172332763672,-59.70734882354736
22,176,11.09449140028258,-33.19423699378967,87.38382911682129,-260.6821708679199,0.19395148195326328,21.753504991531372,-58.96860885620117
23,184,5.679107207490674,-36.46738576889038,68.75829935073853,-254.0817756652832,0.19347364269196987,25.878677129745483,-54.71119213104248
24,192,10.787469215156701,-36.70441961288452,55.393742084503174,-238.56936264038086,0.19300397485494614,28.006348609924316,-45.050902366638184
25,200,11.287641315540299,-34.799755573272705,31.35146713256836,-224.2651710510254,0.19255340658128262,27.83511185646057,-36.15856647491455
26,208,11.268132309032156,-33.659125328063965,40.136746644973755,-226.00674629211426,0.19212101213634014,26.543428421020508,-37.0274920463562
27,216,5.703109681130789,-33.94322347640991,43.855703830718994,-234.84447479248047,0.19169356115162373,25.852928400039673,-42.193448543548584
28,224,11.152984560717819,-34.876883029937744,51.8995623588562,-240.71362495422363,0.1912601925432682,26.162872552871704,-45.548470973968506
29,232,4.769723353595368,-35.60669422149658,43.79123306274414,-244.92225074768066,0.1908189132809639,26.46623992919922,-47.88737440109253
30,240,11.047187568753198,-35.91840839385986,38.4274377822876,-246.09088134765625,0.19037174433469772,26.704935550689697,-48.383129596710205
31,248,10.799406597523697,-36.140501499176025,35.03242015838623,-246.84162712097168,0.1899216528981924,26.903042316436768,-48.62389135360718
32,256,5.597008400411446,-37.016592025756836,46.025837421417236,-248.58919525146484,0.1894702259451151,27.642268419265747,-49.46198034286499
33,264,4.754323834911844,-37.709646224975586,41.72785139083862,-249.81868171691895,0.18901745788753033,28.258578538894653,-49.98584508895874
34,272,11.162159754282335,-37.43402051925659,49.84450054168701,-249.15430641174316,0.18856453709304333,28.121476411819458,-49.37170886993408
35,280,11.269414192071103,-37.228229999542236,54.36103582382202,-249.47104454040527,0.1881129164248705,27.942729949951172,-49.34675073623657
36,288,4.671636977715757,-38.38652849197388,42.941321849823,-250.8885898590088,0.18766199424862862,29.004342794418335,-49.98008966445923
37,296,4.7762833572460535,-39.171127796173096,62.492878437042236,-250.04501152038574,0.18721149489283562,29.945881366729736,-49.261714458465576
38,304,4.765814349751569,-38.38921022415161,49.672656297683716,-245.99987602233887,0.1867638248950243,29.676371335983276,-46.63720083236694
39,312,10.761570640698089,-37.89774799346924,52.8879828453064,-248.17784118652344,0.18632066063582897,29.002873182296753,-47.72567176818848
40,320,11.055732790313273,-39.14675235748291,58.193925619125366,-251.67657470703125,0.1858780588954687,29.925061225891113,-49.59674644470215
41,328,11.083458859229792,-40.313706398010254,60.39573049545288,-250.9440746307373,0.18543429858982563,31.234008312225342,-48.94983148574829
42,336,10.761832354043037,-40.642605781555176,54.364500522613525,-249.1695156097412,0.18499141559004784,31.818166494369507,-47.68715000152588
43,344,10.950398847999464,-42.002108573913574,44.592824935913086,-246.04330825805664,0.18455207906663418,33.57869291305542,-45.628647804260254
44,352,4.569378929076371,-43.28912019729614,59.269930839538574,-239.16539573669434,0.18411856889724731,35.671374797821045,-41.361026763916016
45,360,11.116757308447017,-41.99752378463745,58.89447021484375,-230.90306854248047,0.18369484320282936,35.3288631439209,-36.29142427444458
46,368,10.863797214282176,-41.49867296218872,62.23768329620361,-231.5277557373047,0.18328247591853142,34.811275482177734,-36.477481842041016
47,376,11.281877465329135,-42.39998435974121,60.694289207458496,-238.71072387695312,0.18287302181124687,34.98685359954834,-40.526487827301025
