episode,global_step,avg_reward,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob
1,8,11.089949702796309,,,,,,
2,16,10.983156184315467,,,,,,
3,24,11.239357552646553,,,,,,
4,32,10.95460780587262,,,,,,
5,40,10.977274086664021,,,,,,
6,48,5.634298390639621,,,,,,
7,56,4.840548925704427,,,,,,
8,64,11.303809065226702,-13.593097686767578,907.8096923828125,-269.5921325683594,0.19993998110294342,0.0916961282491684,-67.50700378417969
9,72,11.10707703575429,-13.923972606658936,927.130744934082,-269.2773895263672,0.1996703315526247,0.5079060904681683,-67.1711196899414
10,80,11.305334992754293,-14.847285270690918,855.4983139038086,-270.30228424072266,0.1991916038095951,1.3863461539149284,-67.55772113800049
11,88,10.748893850555442,-16.078076124191284,793.5835494995117,-271.50542068481445,0.19871375150978565,2.5508919954299927,-68.0533800125122
12,96,4.759445677086825,-17.734039545059204,641.5960998535156,-272.0540084838867,0.19823665916919708,4.221570998430252,-68.14284133911133
13,104,10.91339633618619,-20.272377490997314,455.1847724914551,-272.08251571655273,0.1977606564760208,6.838176786899567,-67.91105461120605
14,112,11.104243670687303,-24.733869791030884,295.9679069519043,-269.81478118896484,0.1972864232957363,11.656542539596558,-66.26545429229736
15,120,11.277388518737471,-33.76629900932312,105.03442621231079,-256.4949779510498,0.19681695848703384,22.38096523284912,-57.82699489593506
16,128,10.758949297317082,-47.063724994659424,105.56562376022339,-194.78295707702637,0.1963678989559412,43.19382047653198,-19.690156295895576
17,136,5.604275433168535,-40.12756633758545,366.519832611084,-124.41935348510742,0.19598869234323502,44.763304710388184,23.64604425430298
18,144,11.317855115396513,-26.89237928390503,74.05870008468628,-193.21771430969238,0.19566632062196732,23.282400131225586,-18.452116668224335
19,152,4.608111575957475,-23.873526334762573,158.15125846862793,-242.2670192718506,0.19530469551682472,14.4265958070755,-48.360546588897705
20,160,4.581598008046099,-25.553057193756104,190.98785781860352,-257.9245891571045,0.19488421268761158,14.296551823616028,-57.74483013153076
21,168,11.08820820840261,-29.073956727981567,129.67645263671875,-261.5047836303711,0.19442618265748024,17.46172332763672,-59.70734882354736
22,176,11.09449140028258,-33.19423699378967,87.38382911682129,-260.6821708679199,0.19395148195326328,21.753504991531372,-58.96860885620117
23,184,5.679107207490674,-36.46738576889038,68.75829935073853,-254.0817756652832,0.19347364269196987,25.878677129745483,-54.71119213104248
24,192,10.787469215156701,-36.70441961288452,55.393742084503174,-238.56936264038086,0.19300397485494614,28.006348609924316,-45.050902366638184
