episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_zone,rx_focus_selected,rx_focus_zone,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,10.91720385488959,8.6170276348072,-2.30017622008239,2.30017622008239,8,10.917862414377877,13.217380074971981,13.217380074971981,2,nlos,1.0,nlos,1.0,0.0,2.30017622008239,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
2,16,10.91720385488959,8.6170276348072,-2.30017622008239,2.30017622008239,8,10.917862414377877,13.217380074971981,13.217380074971981,2,nlos,0.0,,0.0,0.0,2.30017622008239,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,10.906164680688084,10.357368613058535,0.6856169452037637,17.72014140364998,17.705774388100696,-0.014367015549283954,10.887865515213834,9.963749971521976,-0.13548850302383983
3,24,10.905618605909739,9.732151837442373,-1.1734667684673692,1.1734667684673692,0,10.902017172471986,12.079085374377108,12.079085374377108,2,nlos,1.0,nlos,1.0,2.30017622008239,1.924606402877383,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
4,32,10.905618605909739,9.732151837442373,-1.1734667684673692,1.1734667684673692,0,10.902017172471986,12.079085374377108,12.079085374377108,2,nlos,0.0,,0.0,0.0,1.7368214942748796,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,11.037252820027701,10.09224696470693,0.01940439519173968,17.89594228519633,17.89594228519633,-5.921189464667501e-16,11.0173469000024,9.629146229991184,-0.5650959560231289
5,40,10.732383627955157,9.926725829865395,-0.8056577980897615,0.8056577980897615,0,10.729668682195431,11.538041426044918,11.538041426044918,0,nlos,1.0,nlos,0.3333333333333333,0.0,0.8056577980897615,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
6,48,10.732383627955157,9.926725829865395,-0.8056577980897615,0.8056577980897615,0,10.729668682195431,11.538041426044918,11.538041426044918,0,nlos,0.0,,0.0,0.0,0.8056577980897615,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,11.030509602790607,10.779570985535848,1.0937145318454384,17.999541717624663,17.999541717624663,0.0,10.771724429312153,10.089847427051703,-0.10739138368213652
7,56,11.271437504460353,10.098214528002122,-1.1732229764582307,1.1732229764582307,0,11.274486959351732,12.444660480918584,12.444660480918584,3,nlos,1.0,nlos,0.5,0.0,1.1732229764582307,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
8,64,11.271437504460353,10.098214528002122,-1.1732229764582307,1.1732229764582307,0,11.274486959351732,12.444660480918584,12.444660480918584,3,nlos,0.0,,0.0,0.0,1.1732229764582307,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,11.104768454299426,10.331103146363606,-0.1294128745989663,17.186961865479816,17.186961865479816,-5.921189464667501e-16,10.8801661649564,9.183671537949563,-1.5268379924141617
9,72,10.808335872089145,11.415403804446512,4.047119549049116,0.0,0,10.809475421511392,6.7612163230400295,6.7612163230400295,1,nlos,1.0,nlos,1.0,0.0,0.0,,,,,,,,0.125,0.011621093750000002,0.1386669921875,0.00691796875,,,,2,0.0,,,
10,80,10.806776392845347,11.413610403316145,4.045560069805317,0.0,0,10.809475421511392,6.7612163230400295,6.7612163230400295,1,nlos,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.038183593749999994,0.15416015625,0.007640625,,,,2,1.0,10.863276716963279,10.011010938469214,-0.2952685349597921,17.168800728110483,17.168800728110483,-8.881784197001252e-16,10.945966223463104,9.615929186371053,-0.9270571875067549
