episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,0.8369193376820157,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,0.8476703571805295,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,2.2417975255230775,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,2.2341376367354364,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.94345920873063,10.904225626885875,-0.07846716368951334,0.07846716368951334,0,10.951705623072638,11.021926372420143,11.021926372420143,-3.753877818584442,386.95447158813477,-260.68213653564453,0.049970018677413464,0.4051477089524269,-67.00475883483887,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2.0,0.0,0.08057916812898595,2,0.0,,,
10,80,10.945067815047686,10.906638536361458,-0.07685855737245717,0.07685855737245717,0,10.951705623072638,11.021926372420143,11.021926372420143,-4.514723896980286,371.6648368835449,-262.0641784667969,0.04991008015349507,1.1487333923578262,-67.43100929260254,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2.0,0.0,0.0784084863699148,2,1.0,,,
11,88,5.62677176697915,2.676113048323842,-5.9013174373106185,5.9013174373106185,8,5.6410050820112305,11.528089204289769,11.528089204289769,-5.703622817993164,351.6998481750488,-262.49139404296875,0.049868896137923,2.33486008644104,-67.54726028442383,0.25,0.125,0.06474609375,0.147685546875,0.008095703125,3.75,0.875,5.8964239556135105,2,0.0,,,
12,96,5.641730911371623,2.69855176491255,-5.886358292918145,5.886358292918145,8,5.6410050820112305,11.528089204289769,11.528089204289769,-7.149159669876099,296.5016975402832,-261.4329528808594,0.04983896669000387,3.800891399383545,-67.17675399780273,0.25,0.125,0.09130859375,0.14351074218749998,0.0078173828125,3.75,0.875,5.8925187279398665,2,1.0,8.0203221768266,6.05619808176996,-3.9282481901132815
13,104,4.739159744494701,1.3529480209685576,-6.772423447052288,6.772423447052288,8,4.741783444929363,11.51158319154699,11.51158319154699,-9.325782299041748,257.7628650665283,-261.2443389892578,0.049809057265520096,5.983518838882446,-67.09645462036133,0.25,0.375,0.11787109374999999,0.09960937499999999,0.0053906250000000005,3.75,0.875,6.765911753830655,2,0.0,,,
14,112,4.766041997815139,1.393271400949216,-6.74554119373185,6.74554119373185,8,4.741783444929363,11.51158319154699,11.51158319154699,-12.545257568359375,191.34914779663086,-261.80320739746094,0.04977917391806841,9.19659423828125,-67.26530838012695,0.25,0.0,0.14443359374999998,0.15451171875,0.00830078125,3.75,0.875,6.741135553681923,2,1.0,,,
15,120,11.3006357584101,10.758174866448764,-1.0849217839226704,1.0849217839226704,0,11.30359912680709,12.385557542332771,12.385557542332771,-16.348498106002808,112.36147117614746,-261.8150863647461,0.049730672501027584,13.003952741622925,-67.24309730529785,0.5,0.5,0.17099609375,0.07483886718749999,0.0039892578125,2.0,0.0,1.086702243537783,2,0.0,,,
16,128,11.302575712214718,10.761084797155693,-1.0829818301180527,1.0829818301180527,0,11.30359912680709,12.385557542332771,12.385557542332771,-23.04034948348999,39.24925351142883,-260.69317626953125,0.04967105248942971,19.720107555389404,-66.83454513549805,0.5,0.0,0.19755859375,0.14513671875,0.00767578125,2.0,0.0,1.0846287507375099,2,1.0,11.204282345271562,10.720018587719508,-0.8043792587623475
17,136,11.113997525104846,10.039543105002565,-2.148908840204564,2.148908840204564,0,11.119222703368518,13.26290636530941,13.26290636530941,-28.57663345336914,30.142125844955444,-258.5036392211914,0.049611559603363276,25.298254013061523,-66.07090950012207,0.5,0.125,0.22412109375,0.1230029296875,0.0064501953125,2.0,0.0,2.1486641624608014,2,0.0,,,
