episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087767922013818,12.239066160456183,3.8376607948078743,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,,
2,16,10.979760665254688,10.727865429161511,-0.8396507869772538,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,,
3,24,11.24816401142278,12.081626345094854,2.7782077789069124,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,,
4,32,10.95330167822426,10.283718793120688,-2.2319429503452515,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,8.28731556227309,7.391007894448529,-2.987692226081866
