episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,12.23843275187667,3.837173557439021,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,0.0,0.0,0.18,0.0,,,
2,16,10.979473306909865,10.727491863313244,-0.8399381453220762,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,0.0,0.0,0.18,0.0,,,
3,24,11.248708028760058,12.082333567633317,2.7787517962441903,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,0.0,0.0,0.18,0.0,,,
4,32,10.953353952975935,10.283786750297859,-2.2318906755935775,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,0.0,0.0,0.18,0.0,8.28731556227309,7.391007894448529,-2.987692226081866
