episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,0.8369193376820157,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,0.8476703571805295,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,2.2417975255230775,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,2.2341376367354364,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.94345920873063,10.904225626885875,-0.07846716368951334,0.07846716368951334,0,10.951705623072638,11.021926372420143,11.021926372420143,-3.753877818584442,386.95447158813477,-260.68213653564453,0.049970018677413464,0.4051477089524269,-67.00475883483887,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2.0,0.0,0.08057916812898595,2,0.0,,,
10,80,10.945067815047686,10.906638536361458,-0.07685855737245717,0.07685855737245717,0,10.951705623072638,11.021926372420143,11.021926372420143,-4.514723896980286,371.6648368835449,-262.0641784667969,0.04991008015349507,1.1487333923578262,-67.43100929260254,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2.0,0.0,0.0784084863699148,2,1.0,,,
11,88,5.63929560753119,2.694898809151902,-5.888793596758578,5.888793596758578,8,5.6410050820112305,11.528089204289769,11.528089204289769,-5.637448310852051,351.7301216125488,-261.69256591796875,0.049874510150402784,2.281254529953003,-67.28518676757812,0.125,0.125,0.06474609375,0.147685546875,0.008095703125,5.5,0.875,5.8895896921433035,2,0.0,,,
12,96,5.655713230219563,2.7195252431844605,-5.872375974070206,5.872375974070206,8,5.6410050820112305,11.528089204289769,11.528089204289769,-6.801113605499268,296.15509033203125,-262.7527618408203,0.049846445210278034,3.4294583797454834,-67.62563705444336,0.25,0.125,0.09130859375,0.14351074218749998,0.0078173828125,5.5,0.875,5.885430240889972,2,1.0,8.018659919781841,6.0537046962028205,-3.929910447158039
13,104,4.712473120810144,1.3129180854417228,-6.7991100707368455,6.7991100707368455,8,4.741783444929363,11.51158319154699,11.51158319154699,-8.777631759643555,257.3804931640625,-262.0369567871094,0.04981653206050396,5.420762777328491,-67.36944580078125,0.25,0.375,0.11787109374999999,0.09960937499999999,0.0053906250000000005,5.5,0.875,6.7885279422494085,2,0.0,,,
14,112,4.710834605823707,1.310460312962065,-6.800748585723283,6.800748585723283,8,4.741783444929363,11.51158319154699,11.51158319154699,-11.802912712097168,190.84857177734375,-262.4378204345703,0.04978663194924593,8.442277431488037,-67.4855728149414,0.25,0.0,0.14443359374999998,0.15451171875,0.00830078125,5.5,0.875,6.822184775797645,2,1.0,,,
15,120,11.302757818287082,10.761357956264241,-1.0827997240456888,1.0827997240456888,0,11.30359912680709,12.385557542332771,12.385557542332771,-15.880851745605469,112.19602870941162,-261.7845458984375,0.049738090485334396,12.53537917137146,-67.24162101745605,0.5,0.5,0.17099609375,0.07483886718749999,0.0039892578125,2.0,0.0,1.0820196216708782,2,0.0,,,
16,128,11.302612069329243,10.76113933282748,-1.0829454730035284,1.0829454730035284,0,11.30359912680709,12.385557542332771,12.385557542332771,-22.06668710708618,39.419498443603516,-261.4492645263672,0.04967842809855938,18.73250913619995,-67.09505844116211,0.5,0.0,0.19755859375,0.14513671875,0.00767578125,2.0,0.0,1.0835930150658126,2,1.0,11.20469267590688,10.720630990971886,-0.8039689281270288
17,136,11.11766981422258,10.045051538679166,-2.14523655108683,2.14523655108683,0,11.119222703368518,13.26290636530941,13.26290636530941,-28.454557418823242,30.939862489700317,-259.15624237060547,0.049618917517364025,25.164000511169434,-66.29670715332031,0.5,0.125,0.22412109375,0.1230029296875,0.0064501953125,2.0,0.0,2.1427899327613957,2,0.0,,,
